id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
1500000US250250607002,"Block Group 2, Census Tract 607, Suffolk County, Massachusetts",1454,225,440,127,440,227,0,12,102,83,0,12,317,143,155,102,19,24,136,95
1500000US250251003001,"Block Group 1, Census Tract 1003, Suffolk County, Massachusetts",1505,430,14,15,1295,366,0,12,23,23,0,12,116,181,57,83,0,12,57,83
1500000US250251010023,"Block Group 3, Census Tract 1010.02, Suffolk County, Massachusetts",2641,692,113,81,2270,688,0,12,109,160,0,12,68,75,81,76,5,9,76,76
1500000US250250008023,"Block Group 3, Census Tract 8.02, Suffolk County, Massachusetts",748,294,311,196,9,21,0,12,131,183,0,12,239,245,58,84,0,12,58,84
1500000US250250004021,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",1223,200,950,207,61,59,0,12,136,66,0,12,0,12,76,67,0,12,76,67
1500000US250251001007,"Block Group 7, Census Tract 1001, Suffolk County, Massachusetts",970,325,158,162,774,326,0,12,0,12,0,12,0,12,38,43,0,12,38,43
1500000US250251106072,"Block Group 2, Census Tract 1106.07, Suffolk County, Massachusetts",1695,370,1525,424,152,173,0,12,18,27,0,12,0,12,0,12,0,12,0,12
1500000US250250821002,"Block Group 2, Census Tract 821, Suffolk County, Massachusetts",2594,649,82,71,1654,632,0,12,0,12,0,12,504,325,354,303,18,30,336,300
1500000US250251304025,"Block Group 5, Census Tract 1304.02, Suffolk County, Massachusetts",1063,375,664,331,0,12,0,12,310,275,0,12,89,133,0,12,0,12,0,12
1500000US250259811002,"Block Group 2, Census Tract 9811, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250251010012,"Block Group 2, Census Tract 1010.01, Suffolk County, Massachusetts",379,230,17,27,340,231,0,12,0,12,0,12,0,12,22,33,0,12,22,33
1500000US250250612003,"Block Group 3, Census Tract 612, Suffolk County, Massachusetts",1049,348,1015,355,1,3,1,3,23,25,0,12,0,12,9,13,0,12,9,13
